date,price,price_diff,price_pct_change,Event,Description,Category
2020-03-10,36.66,1.3299999999999983,0.037645060854797574,,,
2020-03-11,34.45,-2.2099999999999937,-0.06028368794326222,,,
2020-03-12,31.05,-3.400000000000002,-0.09869375907111766,,,
2020-03-13,33.0,1.9499999999999993,0.06280193236714982,,,
2020-03-16,28.04,-4.960000000000001,-0.15030303030303038,,,
2020-03-17,28.04,0.0,0.0,,,
2020-03-18,26.93,-1.1099999999999994,-0.03958630527817397,,,
2020-03-19,23.3,-3.629999999999999,-0.13479391013739317,,,
2020-03-20,25.4,2.099999999999998,0.09012875536480669,Global COVID-19 Lockdowns Peak,Demand collapse → prices crash.,Economic Shock
2020-03-23,25.06,-0.33999999999999986,-0.013385826771653564,,,
2020-03-24,23.75,-1.3099999999999987,-0.05227454110135665,,,
2020-03-25,25.62,1.870000000000001,0.07873684210526322,,,
2020-03-26,23.55,-2.0700000000000003,-0.08079625292740045,,,
2020-03-27,22.39,-1.1600000000000001,-0.049256900212314214,,,
2020-03-30,19.07,-3.3200000000000003,-0.1482804823581957,,,
2020-03-31,19.19,0.120000000000001,0.0062926061877295325,,,
2020-04-01,14.97,-4.220000000000001,-0.21990620114643045,,,
2020-04-02,20.24,5.269999999999998,0.35203740814963247,,,
2020-04-03,24.33,4.09,0.20207509881422925,,,
2020-04-06,22.58,-1.75,-0.07192766132346895,,,
2020-04-07,22.1,-0.4799999999999969,-0.021257750221434724,,,
2020-04-08,25.22,3.1199999999999974,0.14117647058823524,,,
2020-04-09,20.23,-4.989999999999998,-0.19785884218873906,,,
2020-04-14,21.74,1.509999999999998,0.07464162135442409,,,
2020-04-15,19.8,-1.9399999999999977,-0.08923643054277819,,,
2020-04-16,18.69,-1.1099999999999994,-0.05606060606060603,,,
2020-04-17,19.75,1.0599999999999987,0.05671482075976453,,,
2020-04-20,17.36,-2.3900000000000006,-0.12101265822784812,,,
2020-04-21,9.12,-8.24,-0.4746543778801844,,,
2020-04-22,13.77,4.65,0.5098684210526316,,,
2020-04-23,15.06,1.290000000000001,0.09368191721132901,,,
2020-04-24,15.87,0.8099999999999987,0.05378486055776888,,,
2020-04-27,15.17,-0.6999999999999993,-0.04410838059231248,,,
2020-04-28,15.6,0.4299999999999997,0.028345418589321048,,,
2020-04-29,17.86,2.26,0.1448717948717948,,,
2020-04-30,18.11,0.25,0.01399776035834277,,,
2020-05-01,18.49,0.379999999999999,0.02098288238542234,,,
2020-05-04,20.4,1.9100000000000001,0.10329908058409942,,,
2020-05-05,25.46,5.060000000000002,0.24803921568627474,,,
2020-05-06,24.2,-1.2600000000000016,-0.049489395129615144,,,
2020-05-07,24.23,0.030000000000001137,0.0012396694214875659,,,
2020-05-11,25.53,1.3000000000000007,0.05365249690466367,,,
2020-05-12,26.67,1.1400000000000006,0.044653349001175124,,,
2020-05-13,27.89,1.2199999999999989,0.04574428196475444,,,
2020-05-14,29.87,1.9800000000000004,0.07099318752240946,,,
2020-05-15,30.95,1.0799999999999983,0.03615667894208219,,,
2020-05-18,33.3,2.349999999999998,0.07592891760904674,,,
2020-05-19,33.06,-0.23999999999999488,-0.007207207207207023,,,
